Lead Name,Stage,Status,Score,City,State,Notes,Next Action,Client,Created By,Assigned To,Market Sector,Offices,Service Types,Record Source,Marketing Campaign,Create Date,Month Created,Origination Date,Bid Date,Tickler Date,Sub Categories,Est. Cost,Lead Age (days),Lead Days in System,Conversion to Opp Hours,Conversion to Opp Days,Email,Conversion Status,Last Modified Date,Last Event,Risk Profile,Deliverables,Comments,Contact,Phone,Contract Type,Form URL,Primary Categories,Secondary Categories,Divisions,Studios,Client Type,Office Division,Lead Source,Estimated Size,Estimated Unit Size,Solicitation Number,NAICS Code(s)
Manitou Springs Pool & Fitness,Unassigned,Open,(2) Meh,Manitou Springs,Colorado,"According to notes, Jordan thinks the contact name is Phil Mayo...need to confirm this. Met him at CPRA  Was perusing the city website and found a ""projects page"". Linked here for review and deeper dive....saw they have a master plan available for review in addition ot other ongoing projects. Haven't looked to see if these are upcoming or in process...wondering if the master plan might be agood source of addition pre-positioning info. Link: https://www.manitouspringsco.gov/ ",Need to confirm contact info for the lead that Jordan met at CPRA,City of Manitou Springs,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Recreation,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,,,,,,,,,,Athletic Facilities,Aquatics,,,Public,,,,,,
Wheat Ridge Pool Replacement,Unassigned,Open,(1) Unlikely,Wheat Ridge,Colorado,No info on this in the spreadsheet...need additional info to build from ,,City of Wheat Ridge,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Recreation,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,,,,,,,,,,Athletic Facilities,Aquatics,,,Public,,,,,,
PROST Performing Arts,Unassigned,Open,(2) Meh,Erie,Colorado,"Timeline, 2027 - This is currently in the strategic plan/feasibility phase.  DTJ completing the report.  Unknown Budget  Need more info to build this from - obtain report once completed and released. ",,Town of Erie,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Culture,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,,,,,,"Bolinger, Luke",,,,,,,,Public,,,,,,
Grand Junction Field House,Unassigned,Open,(1) Unlikely,Grand Junction,Colorado,"Notes from Spreadsheet is that it might be a field house, and we think the contact's first name is Ken....we need more info on this to build the lead ",Establish Point of Contact,City of Grand Junction,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,,,,,,,,,,,,,,Public,,,,,,
Town of Timnath Recreation Center,Unassigned,Open,(2) Meh,Timnath,Colorado,"Setting up coffee with Tom   Jordan's Notes (Feb 2025) - I believe BRB did conceptual   CIP Description (01-29-25): The Town has allocated $50,000 in 2025 for planning related to the future design and construction of a new Recreation Center. They are currently  undertaking a feasibility study for the potential future development of a center to become a community hub.  Professional Services Budget: $4,500,000 ",,Town of Timnath,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Recreation,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,07/07/2025,,,,,,,,,Athletic Facilities,,,,Public,,CIP,,,CIP ID#93828,
Akron Recreation Center,Unassigned,Open,(1) Unlikely,Akron,Colorado,Met at CPRA - Mentioned that they were trying to add some of these programs in their 5 year strategic plan ,Follow up with Aaron ,Town of Akron,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Recreation,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,,,,,,"Lambertson, Aaron",,,,,,,,Public,,,,,,
Akron Golf Clubhouse,Unassigned,Open,(2) Meh,Akron,Colorado,Met at CPRA - Mentioned that they were trying to add some of these programs in their 5 year strategic plan  Follow up with Aaron on this and the rec center ,,Town of Akron,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Recreation,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,,582,582,,,,none,,,,,,"Lambertson, Aaron",,,,Clubhouse,,,,Public,,,,,,
Longmont Recreation Center Fitness Improvements,Unassigned,Open,(2) Meh,Longmont,Colorado,"No Contact info  Jordan's Notes:   	Unfunded 	Need to Pre-Position   CIP Description: This unfunded project provides for redesign of the locker rooms by changing the bays to one open area and changing the showers from open ""gang"" style to individual, private showers. ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,02/11/2025,,,,"$2,742,990",527,527,,,,none,,,,,,,,,,Athletic Facilities,Locker Rooms Bathrooms,,,Public,,CIP,,,CIP ID#72468,
Alta Park Master Planned Improvements,Unassigned,Open,(2) Meh,Longmont,Colorado,"Jordan's Notes: Potential Partners: Design Concepts, Logan Simpson, Norris  NOTE: Anticipated 2027   CIP Description: The project includes completion of master planned projects, to include a new pre-fab restroom, ADA accessible playground, updated lighting, new signage lighting and site improvements. ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$2,445,846",540,527,,,,none,02/11/2025,,,,,,,,,Athletic Facilities Municipal,Locker Rooms ADA Upgrades Bathrooms Children's Spaces,,,Public,,CIP,,,CIP ID# 74586,
Sunset Campus Expansion,Unassigned,Open,(2) Meh,Longmont,Colorado,"Jordan's Notes: Need to Pre-Position  CIP Description: The City proposes to design and build out the Sunset Campus (aka Parks/Natural Resources Complex) to include covered and heated parking and storage for  maintenance vehicles and equipment such as: Forestry vehicles, water tanks, graffiti equipment and weed sprayers. Funding was approved for 2022 for an update of the site plan to  include the potential inclusion of golf maintenance at this site. No funding has been identified for design and construction of the project. ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$2,836,741",540,527,,,,none,,,,,,,,,,Public Works Municipal,Drive-Thru Bay Maintenance Vehicle Storage Site Circulation Storage Warehouse Garage/Workshop,,,Public,,CIP,,,CIP ID# 81822,
Station #1 Storage/Classroom Facility,Unassigned,Open,(2) Meh,Longmont,Colorado,"Jordan Notes: Opportunity; Could be a good Introduction to Fire Station Project - NEED Pre-Bid  CIP Description: This project would build a 4,000 sf detached structure south of Fire Station #1 to provide storage for supplies and portable equipment, plus classroom space in a  central location. The City proposes a 50' by 80' building with a large meeting room, a couple of secure store rooms, and restrooms. The project is currently unfunded. ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,,540,527,,,,none,,,,,,,,,,Municipal Support Services Public Safety,Drive-Thru Bay Classrooms Vehicle Storage Bathrooms Conference Spaces Security Storage Warehouse,,,Public,,CIP,4000,,CIP ID# 83887,
Wildwing Park,Unassigned,Open,(3) Likely,Timnath,Colorado,"Jordan's Notes: Need to speak with Tom Casal about this - seems vague  CIP Description: The Town plans to complete Wildwing Park development improvements.  CIP Dates: 2027-2028  Professional Services Estimate: $160,000 ",,Town of Timnath,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$4,160,000",540,527,,,,none,02/11/2025,,,,,,,,,,,,,Public,,CIP,,,CIP ID# 88748,
Dry Creek Community Park,Unassigned,Open,(2) Meh,Longmonth,Colorado,"Jordan's Notes: $19,626,623 remains unfunded - Potential Partners Design Concepts, Logan Simpson, Norris   CIP Description: Phase 2 of this project would expand on the existing features by adding 2 ballfields, a maintenance building, outdoor handball/racquetball, sand volleyball, a  promenade crossing of Dry Creek, a water plaza at Dry Creek, an additional playground, restrooms and shelters, additional parking, relocation of the sledding hill, landscaping and  irrigation. Of the total cost estimate, $19,626,623 remains unfunded.  Anticipated Dates 2028-2029 + ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$21,679,754",540,527,,,,none,,,,,,,,,,Athletic Facilities Municipal Support Services,Community Space Maintenance Children's Spaces Site Circulation,,,Public,,CIP,,,CIP ID# 89096,
Park Infrastructure Rehab/Replacement,Unassigned,Open,(2) Meh,Longmont,Colorado,"Jordan's Notes: Potential Partners-Design Concepts, Logan Simpson, Norris  CIP Description: This project addresses the need to renew aging park infrastructure, such as sports courts, skate parks, sports field equipment (lights, scoreboards, fencing, etc.) playgrounds, park path lights, signs, park buildings, and other amenities. Currently, about $8.3 million remains unfunded.  Estimated 2025-2029 + Timeframe ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,02/11/2025,,,,"$12,019,600",527,527,,,,none,,,,,,,,,,Athletic Facilities Municipal,Maintenance ADA Upgrades Children's Spaces,,,Public,,CIP,,,CIP ID# 90563,
Stadium Master Plan Improvements,Unassigned,Open,(2) Meh,Grand Junction,Colorado,Jordan Notes: Need to Pre-Position  CIP Description: The City has programmed future funding to complete mid term master planned improvements at the stadium  Est. 2030 Timeframe ,,City of Grand Junction,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Culture,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$23,140,000",540,527,,,,none,,,,,,,,,,Athletic Facilities Municipal Entertainment Auditorium,Maintenance Event Space ADA Upgrades,,,Public,,CIP,,,CIP ID# 91365,
Butterfly Pavillion,Unassigned,Open,(2) Meh,Broomfield,Colorado,"Jordan's Notes: Collab Opp - Would be a fun project  CIP Description: Broomfield has programmed future funding for a new Butterfly Pavilion, to be located within the Baseline development. The City/County plans to accumulate funding by allocating $2 million per year until the total of $13 million is available to complete a new facility. The facilities will offer programming partnerships with Adams 1 STEM choice school, the local library branch, and other tenants within Baseline.  Estimated 2029+ Timeline ",,City & County of Broomfield,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Education Culture,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$13,570,000",540,527,,,,none,,,,,,,,,,Municipal Community Center Entertainment Auditorium,Classrooms Library Community Space Offices Event Space Bathrooms Children's Spaces Greenhouse,,,Public,,CIP,,,CIP ID# 91415,
New Town Hall Building,Unassigned,Open,(2) Meh,Lyons,Colorado,Jordan Notes: Collab Opportunity - Need to pre-position  CIP Description: The Town expects to require a new Town Hall building in 2029 or later ,,Town of Lyons,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Office,,Architecture,Email,,02/11/2025,2025-Feb,02/11/2025,,,,"$6,000,000",527,527,,,,none,,,,,,,,,,Town Hall Administration Municipal,,,,Public,,CIP,,,CIP ID# 91734,
Longmont Museum Building Expansion,Unassigned,Open,(2) Meh,Longmont,Colorado,"Jordan Notes: Collab Opp - Need to pre-position. I know a few partners we could reach out to as well  CIP Description: This project will increase the footprint of the museum building to serve the growing community. It will also include renovation of the existing facility. At this time the project is not funded.  CIP Notes: Not yet funded - Timeframe Unknown - Overall Budget-currently at $9,575  ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Culture,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,,540,527,,,,none,,,,,,,,,,Municipal Community Center,,,,Public,,CIP,,,CIP ID# 92129,
PW Admin Addition,Unassigned,Open,(2) Meh,Breckenridge,Colorado,CIP Description: This project will construct a second floor addition to the existing Public Works Administration building. The funding shown here is assumed to be a 50% grant match.  Est 2029 Timeframe ,,Town of Breckenridge,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$2,500,000",540,527,,,,none,,,,,,,,,,Public Works Administration Support Services,,,,Public,,CIP,,,CIP ID# 92347,
Range Classroom and Office Space,Unassigned,Open,(2) Meh,Longmont,Colorado,"CIP Description: With the recent loss of classroom space, there is not an adequately sized classroom at the Range for internal training or to host outside programs. Additional  classroom space is necessary for the Range to function properly as a Police training facility. This project proposes to add a large classroom for defensive tactics training and a secure shop/armory to maintain weapons either within or attached to an existing building. The project is not funded in the current capital plan. ",,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$2,900,000",540,527,,,,none,,,,,,,,,,Police Department Municipal Support Services Public Safety,Classrooms Locker Rooms Gym / Fitness Conference Spaces Security Storage,,,Public,,CIP,,,CIP ID# 92942,
Park Bathroom Replacement/Imp's,Unassigned,Open,(3) Likely,,,"Jordan Notes: Collab opportunity - we love shitters  CIP Description:   The Town has programmed $300,000 in 2026 and $300,000 in 2028 for bathroom replacements or improvements at Town parks. ",,Town of Carbondale,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$300,000",540,527,,,,none,,,,,,,,,,Municipal,Bathrooms,,,Public,,CIP,,,CIP ID# 93132,
Future 80-Acre Community Park,Unassigned,Open,(2) Meh,Timnath,Colorado,Jordan Notes: Collab Opportunity - Need to pre-position - Talk to Tom Casal regarding this  CIP Description: The Town would like to complete a new community park/regional sports complex in the future. No funding is provided in the current five-year planning period. ,,Town of Timnath,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$18,000,000",540,527,,,,none,,,,,,,,,,Athletic Facilities Municipal,,,,Public,,CIP,,,CIP ID# 93151,
New Deicing Storage Facility,Unassigned,Open,(2) Meh,Windsor,Colorado,"CIP Description: After the current five-year planning period, the Town anticipates design and construction of a new deicing storage facility.  Estimated 2029+ Timeline ",,Town of Windsor,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Industrial,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$4,442,096",540,527,,,,none,,,,,,,,,,Public Works Municipal,Vehicle Storage Site Circulation Storage,,,Public,,CIP,,,CIP ID# 93531,
Youth Center Improvements,Unassigned,Open,(2) Meh,Longmont,Colorado,Jordan Notes: Collab Opportunity (Obviously - It's Hockey Related  CIP Description: The City will use facility condition assessments to determine expansion and renovation work to be completed at the Youth Center. The project is currently unfunded ,,City of Longmont,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$1,060,520",540,527,,,,none,,,,,,,,,,Athletic Facilities Municipal Community Center,Community Space Locker Rooms Gym / Fitness Children's Spaces Storage,,,Public,,CIP,,,CIP ID# 93769,
College Hill Library Improvements,Unassigned,Open,(2) Meh,Westminster,Colorado,Jordan Notes: Collab Opportunity - Vague - May just need to monitor this.  CIP Description: This project provides for improvements to the College Hill Library.  Est 2027 Timeframe ,,City of Westminster,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Culture,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$350,000",540,527,,,,none,,,,,,,,,,Library Municipal,,,,Public,,CIP,,,CIP ID# 93786,
Parks Maintenance Facility,Unassigned,Open,(3) Likely,Timnath,Colorado,"Jordan Notes: Collab Opportunity   CIP Description: As identified in the 2024 Facilities Master Plan, the Town will need a new Parks Maintenance Facility ",,Town of Timnath,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Industrial Recreation,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$2,000,000",540,527,,,,none,,,,,,,,,,Public Works Athletic Facilities Municipal,Drive-Thru Bay Maintenance Vehicle Storage Storage,,,Public,,CIP,,,CIP ID# 93830,
Littleton Center: Future Bldg Renovations,Unassigned,Open,(1) Unlikely,Littleton,Colorado,"CIP Description: The City plans phases 3 through 8 of this project between 2026 and 2032. Phases 3 and 4, to be designed in 2026 and constructed in 2028-2029, include the West  Wing - Finance, City Manager's and Attorney's offices. In 2029, Phases 5 and 6 will be designed, to include the East Wing, Police Department original building. Funding for construction of those phases will be needed beyond 2029.  Professional Services Budget $740,000 ",,City of Littleton,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Office,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$2,954,000",540,527,,,,none,,,,,,,,,,Administration Municipal,,,,Public,,CIP,,,CIP ID# 93850,
Library Replacement,Unassigned,Open,(2) Meh,Littleton,Colorado,"Jordan's Notes: Potential partnership with another firm   CIP Description: The Bemis Public Library is not meeting an appropriate level of service, has safety and security concerns for staff and patrons, and will never catch up to the long-term needs by continually renovating the existing facility. The most effective solution is replacement of the building. The capital plan shows funding in 2029. However, at this time, no source of funding has been identified    Project is related to both the Bemis House Renovations and the City's Library Master Planning project ",,City of Littleton,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Culture,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$30,000,000",540,527,,,,none,,,,,,,,,,Library Municipal,,,,Public,,CIP,,,CIP ID# 93855,
Library Master Planning,Unassigned,Open,(2) Meh,Littleton,Colorado,"Jordan Notes: Potentially a good partnership for rethinking libraries  CIP Description: The City plans a Strategic Plan and service delivery needs assessment for library services, to include community outreach.  Estimated 2026 Timeline  Project related to Library Replacement Lead and Bemis House Renovations ",,City of Littleton,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Culture,,Architecture,Email,,02/11/2025,2025-Feb,01/29/2025,,,,"$225,000",540,527,,,,none,,,,,,,,,,Library Municipal,,,,Public,,CIP,,,CIP ID# 93856,
Recycle Center Facility Improvements,Unassigned,Open,(2) Meh,,Colorado,Jordan Notes: In our backyard  CIP Description: This project provides funding for facility improvements at the recycle center.  Anticipated 2026 timeline ,,Larimer County,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Industrial,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$1,000,000",540,526,,,,none,,,,,,,,,,Public Works Municipal,,,,Public,,CIP,,,CIP ID# 93860,
Eastman Park,Unassigned,Open,(2) Meh,Windsor,California,"Jordan Notes: In our backyard. Potential partners; Design Concepts, Logan Simpson, Norris  CIP Description: The Town has programmed $700,000 in 2026 for the Eastman Park project. The major work is anticipated beyond 2029  Estimated 2026 & 2029+ ",,Town of Windsor - Parks and Recreation,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$3,700,000",540,526,,,,none,03/11/2025,,,,,,,,,Municipal,Community Space Children's Spaces,,,Public,,CIP,,,CIP ID# 93865,
Water Shop Expansion,Unassigned,Open,(2) Meh,Craig,Colorado,CIP Description: The City anticipates the future need to expand the water shop.  Est 2034 Timeline ,,City of Craig,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Industrial,,,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$750,000",540,526,,,,none,,,,,,,,,,Public Works Municipal,,,,Public,,CIP,,,CIP ID# 93892,
Garage Expansion,Unassigned,Open,(2) Meh,Canyon City,Colorado,Jordan's Notes: Small project  CIP Description: The City's capital plan includes funding for a garage expansion project for the police department  Est. 2026 Timeline ,,Cañon City Area Recreation and Park District,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$700,000",540,526,,,,none,07/07/2025,,,,,,,,,Municipal Auto/Garage Public Safety,Drive-Thru Bay Vehicle Storage Storage Garage/Workshop,,,Public,,CIP,,,CIP ID# 93907,
Rudd Park Restroom Facility,Unassigned,Open,(2) Meh,Canyon City,Colorado,Jordan Notes: Small project  CIP Description: The City plans to complete a new restroom facility at Rudd Park.  Est 2028 Timeline ,,Cañon City Area Recreation and Park District,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$350,000",540,526,,,,none,07/07/2025,,,,,,,,,Municipal,Bathrooms,,,Public,,CIP,,,CIP ID# 93909,
Public Works Admin and Shop Building,Unassigned,Open,(2) Meh,Avon,Colorado,Jordan's Notes: Good project. I assume it will be heavily attended  CIP Description: This project provides funding for design of the Public Works Administration and shop building  Est 2026 Timeline ,,Town of Avon,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Office Industrial,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$250,000",540,526,,,,none,,,,,,,,,,Public Works Administration Municipal,Offices Maintenance Site Circulation,,,Public,,CIP,,,CIP ID# 93924,
North Restrooms - Nottingham Lake Beach,Unassigned,Open,(2) Meh,Avon,Colorado,CIP Description: This project provides for restroom improvements at Nottingham Lake Beach  Est 2027 Timeline ,,,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Recreation,,Architecture,Email,,02/12/2025,2025-Feb,02/12/2025,,,,"$700,000",526,526,,,,none,,,,,,,,,,Municipal,Bathrooms,,,Public,,CIP,,,CIP ID# 93925,
Parks & PW Admin Facility,Unassigned,Open,(2) Meh,Wellington,Colorado,CIP Description: This project will design and construct a new Parks and Public Administration Facility on the far north portion of Wellington Community Park. The project will enlarge the existing water booster station site.  Est. 2026 Timeline ,This may have been the Water Treatment Facility that was submitted in August 2025. ,Town of Wellington,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic Office Recreation,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$780,000",540,526,,,,none,,,,,,,,,,Public Works Administration Municipal,,,,Public,,CIP,,,CIP ID# 93939,
Detention Facility Replacement,Unassigned,Open,(1) Unlikely,,Colorado,Jordan's Notes: Collab opportunity-Need to partner  CIP Description: This project would replace the County's detention facility.  Est 2026-2029 Timeline ,,Adams County,Erica Sayers,Holly Fink Joe Berlin Jordan Lockner Erica Sayers,Civic,,Architecture,Email,,02/12/2025,2025-Feb,01/29/2025,,,,"$607,000,000",540,526,,,,none,,,,,,,,,,Administration Public Safety,Offices Locker Rooms Security,,,Public,,CIP,,,CIP ID#93950,
